Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                  81",-3.530724658426e+01,8.585189766421e-01,-4.527634931734e+00,-3.571440860637e+01,8.785455537057e-01,-4.548670251322e+00,-4.071620221106e-01,2.002657706358e-02,-2.103531958897e-02
"                  82",-3.510474936050e+01,9.658730175439e-01,-4.489019511997e+00,-3.551418376414e+01,9.867715261903e-01,-4.510579477933e+00,-4.094344036474e-01,2.089850864636e-02,-2.155996593537e-02
"                  83",-3.485562616780e+01,1.089528970307e+00,-4.487752741758e+00,-3.526723073439e+01,1.111316020388e+00,-4.509897584798e+00,-4.116045665831e-01,2.178705008050e-02,-2.214484304024e-02
"                  84",-3.466758496464e+01,1.216903453879e+00,-4.468448267560e+00,-3.508122515611e+01,1.239520905022e+00,-4.491209553213e+00,-4.136401914764e-01,2.261745114343e-02,-2.276128565243e-02
"                  85",-3.448761469334e+01,1.329470336133e+00,-4.447105920507e+00,-3.490306778124e+01,1.352980535461e+00,-4.470495707936e+00,-4.154530878950e-01,2.351019932757e-02,-2.338978742877e-02
"                  86",-3.426830418016e+01,1.429850148513e+00,-4.453377762182e+00,-3.468526914262e+01,1.454322212136e+00,-4.477379136262e+00,-4.169649624604e-01,2.447206362335e-02,-2.400137407937e-02
"                  87",-3.401229859470e+01,1.515510380066e+00,-4.470230789489e+00,-3.443051756183e+01,1.540944929808e+00,-4.494824811115e+00,-4.182189671374e-01,2.543454974167e-02,-2.459402162606e-02
"                  88",-3.379003589570e+01,1.614453503009e+00,-4.477456180166e+00,-3.420928391751e+01,1.640848518626e+00,-4.502633810689e+00,-4.192480218137e-01,2.639501561609e-02,-2.517763052285e-02
"                  89",-3.365880467831e+01,1.728361814490e+00,-4.457753934034e+00,-3.407887833923e+01,1.755543995007e+00,-4.483490955755e+00,-4.200736609180e-01,2.718218051741e-02,-2.573702172120e-02
"                  90",-3.363965856444e+01,1.852611877345e+00,-4.434179754779e+00,-3.406039172628e+01,1.880552908804e+00,-4.460446991667e+00,-4.207331618428e-01,2.794103145922e-02,-2.626723688788e-02
"                  91",-3.367606135651e+01,1.976385259392e+00,-4.431140517907e+00,-3.409704918579e+01,2.005058592966e+00,-4.457929578339e+00,-4.209878292779e-01,2.867333357355e-02,-2.678906043163e-02
"                  92",-3.376237846593e+01,2.092300219297e+00,-4.458066225630e+00,-3.418342575995e+01,2.121692253383e+00,-4.485362144381e+00,-4.210472940164e-01,2.939203408653e-02,-2.729591875064e-02
"                  93",-3.384930313774e+01,2.188093793709e+00,-4.514041619971e+00,-3.427035864570e+01,2.218316372755e+00,-4.541778788562e+00,-4.210555079646e-01,3.022257904575e-02,-2.773716859041e-02
"                  94",-3.394971216278e+01,2.264897132501e+00,-4.575984571168e+00,-3.437095914962e+01,2.296113770337e+00,-4.604048879796e+00,-4.212469868378e-01,3.121663783650e-02,-2.806430862813e-02
"                  95",-3.407735383194e+01,2.312186352204e+00,-4.592625941469e+00,-3.449895783414e+01,2.344646983974e+00,-4.620923471462e+00,-4.216040021958e-01,3.246063177010e-02,-2.829752999345e-02
"                  96",-3.424406614980e+01,2.331907725724e+00,-4.555721437586e+00,-3.466619492482e+01,2.365740670507e+00,-4.584176768171e+00,-4.221287750274e-01,3.383294478334e-02,-2.845533058468e-02
"                  97",-3.436680136480e+01,2.333468072141e+00,-4.487627460314e+00,-3.478955432509e+01,2.368651838461e+00,-4.516163714088e+00,-4.227529602892e-01,3.518376632012e-02,-2.853625377372e-02
"                  98",-3.439492408512e+01,2.336890274943e+00,-4.429615095639e+00,-3.481836855479e+01,2.373330976118e+00,-4.458154142343e+00,-4.234444696684e-01,3.644070117538e-02,-2.853904670419e-02
"                  99",-3.432289196006e+01,2.352004971815e+00,-4.386914320561e+00,-3.474695382838e+01,2.389649456933e+00,-4.415412373186e+00,-4.240618683135e-01,3.764448511852e-02,-2.849805262513e-02
"                 100",-3.418369465912e+01,2.377140458143e+00,-4.335937366975e+00,-3.460831108259e+01,2.416008785472e+00,-4.364400430812e+00,-4.246164234757e-01,3.886832732819e-02,-2.846306383754e-02
"                 101",-3.399795779826e+01,2.391273044180e+00,-4.259384921306e+00,-3.442307812633e+01,2.431340147181e+00,-4.287808068260e+00,-4.251203280705e-01,4.006710300090e-02,-2.842314695385e-02
"                 102",-3.381324651848e+01,2.383643983624e+00,-4.178703089372e+00,-3.423884201413e+01,2.424851447679e+00,-4.207019510749e+00,-4.255954956498e-01,4.120746405484e-02,-2.831642137664e-02
"                 103",-3.359811042141e+01,2.358958500246e+00,-4.098813093477e+00,-3.402406477478e+01,2.401316166715e+00,-4.126970880760e+00,-4.259543533696e-01,4.235766646929e-02,-2.815778728354e-02
"                 104",-3.332025765527e+01,2.325864490718e+00,-4.016123950537e+00,-3.374644757243e+01,2.369356423279e+00,-4.044087221304e+00,-4.261899171611e-01,4.349193256082e-02,-2.796327076706e-02
"                 105",-3.300049494332e+01,2.291161702637e+00,-3.936270783956e+00,-3.342682818787e+01,2.335745391651e+00,-3.964012372906e+00,-4.263332445415e-01,4.458368901373e-02,-2.774158895020e-02
"                 106",-3.269269673681e+01,2.258113662736e+00,-3.853272431238e+00,-3.311914696449e+01,2.303688612479e+00,-3.880769830493e+00,-4.264502276795e-01,4.557494974327e-02,-2.749739925513e-02
"                 107",-3.240614998080e+01,2.225670113359e+00,-3.753972441963e+00,-3.283272892963e+01,2.272168125967e+00,-3.781221067476e+00,-4.265789488281e-01,4.649801260849e-02,-2.724862551269e-02
"                 108",-3.212812923283e+01,2.196372200873e+00,-3.642888626743e+00,-3.255486264099e+01,2.243770318728e+00,-3.669896267795e+00,-4.267334081599e-01,4.739811785462e-02,-2.700764105165e-02
"                 109",-3.181064907992e+01,2.169647510910e+00,-3.537472395129e+00,-3.223753234773e+01,2.217880615053e+00,-3.564241566072e+00,-4.268832678082e-01,4.823310414291e-02,-2.676917094339e-02
"                 110",-3.148899693873e+01,2.148640351951e+00,-3.448229781722e+00,-3.191603479561e+01,2.197700603046e+00,-3.474719929833e+00,-4.270378568818e-01,4.906025109519e-02,-2.649014811119e-02
"                 111",-3.119384147633e+01,2.132893043119e+00,-3.367297583066e+00,-3.162100846239e+01,2.182764161880e+00,-3.393494125457e+00,-4.271669860572e-01,4.987111876128e-02,-2.619654239104e-02
"                 112",-3.096985445508e+01,2.123871978581e+00,-3.276906160494e+00,-3.139714675075e+01,2.174516886839e+00,-3.302807520449e+00,-4.272922956654e-01,5.064490825781e-02,-2.590135995513e-02
"                 113",-3.074749046859e+01,2.120534119030e+00,-3.177421179038e+00,-3.117489450814e+01,2.171890380627e+00,-3.203052215619e+00,-4.274040395478e-01,5.135626159688e-02,-2.563103658164e-02
"                 114",-3.052584909623e+01,2.119677410213e+00,-3.084708245472e+00,-3.095335711659e+01,2.171649687032e+00,-3.110116472128e+00,-4.275080203659e-01,5.197227681935e-02,-2.540822665590e-02
"                 115",-3.026857426319e+01,2.115147005767e+00,-2.993068923148e+00,-3.069627573368e+01,2.167579915549e+00,-3.018263737325e+00,-4.277014704874e-01,5.243290978220e-02,-2.519481417624e-02
"                 116",-3.002842570824e+01,2.112496294206e+00,-2.896752437673e+00,-3.045649675160e+01,2.165240862167e+00,-2.921718402545e+00,-4.280710433587e-01,5.274456796066e-02,-2.496596487261e-02
"                 117",-2.980909961415e+01,2.107699765324e+00,-2.796380720249e+00,-3.023765079094e+01,2.160642117018e+00,-2.821092982168e+00,-4.285511767896e-01,5.294235169417e-02,-2.471226191911e-02
"                 118",-2.961203495307e+01,2.100829333044e+00,-2.691254393203e+00,-3.004113644217e+01,2.153921048510e+00,-2.715699620760e+00,-4.291014890997e-01,5.309171546584e-02,-2.444522755705e-02
"                 119",-2.944914120043e+01,2.094291680118e+00,-2.590925973155e+00,-2.987882641221e+01,2.147554936699e+00,-2.615070560653e+00,-4.296852117817e-01,5.326325658102e-02,-2.414458749734e-02
"                 120",-2.933496544336e+01,2.097861889950e+00,-2.486434015413e+00,-2.976529106228e+01,2.151314153299e+00,-2.510256757375e+00,-4.303256189183e-01,5.345226334922e-02,-2.382274196219e-02
"                 121",-2.925873583325e+01,2.112173304873e+00,-2.368867157863e+00,-2.968970058811e+01,2.165796155839e+00,-2.392353627296e+00,-4.309647548642e-01,5.362285096567e-02,-2.348646943251e-02
"                 122",-2.920404839237e+01,2.136595940667e+00,-2.231705148214e+00,-2.963566168782e+01,2.190304544839e+00,-2.254829271013e+00,-4.316132954527e-01,5.370860417203e-02,-2.312412279929e-02
"                 123",-2.915525518795e+01,2.162692962688e+00,-2.088993335995e+00,-2.958748630370e+01,2.216386258445e+00,-2.111753010012e+00,-4.322311157419e-01,5.369329575687e-02,-2.275967401662e-02
"                 124",-2.915183808057e+01,2.185980449466e+00,-1.947219797788e+00,-2.958472686088e+01,2.239567176348e+00,-1.969646010596e+00,-4.328887803144e-01,5.358672688227e-02,-2.242621280814e-02
"                 125",-2.917622012004e+01,2.201745680375e+00,-1.811192161645e+00,-2.960983978621e+01,2.255164881055e+00,-1.833330425401e+00,-4.336196661742e-01,5.341920068034e-02,-2.213826375668e-02
"                 126",-2.921571593575e+01,2.215264346139e+00,-1.681911459033e+00,-2.965019853299e+01,2.268500278410e+00,-1.703774761420e+00,-4.344825972423e-01,5.323593227072e-02,-2.186330238721e-02
"                 127",-2.923984309169e+01,2.229655369633e+00,-1.563455548133e+00,-2.967523328758e+01,2.282650348573e+00,-1.585031588750e+00,-4.353901958965e-01,5.299497893993e-02,-2.157604061719e-02
"                 128",-2.926004985757e+01,2.247581584273e+00,-1.447022567384e+00,-2.969635455277e+01,2.300290523939e+00,-1.468279111993e+00,-4.363046951946e-01,5.270893966541e-02,-2.125654460837e-02
"                 129",-2.928545847661e+01,2.265397483045e+00,-1.324051039968e+00,-2.972261267195e+01,2.317739580922e+00,-1.344964564804e+00,-4.371541953450e-01,5.234209787701e-02,-2.091352483580e-02
"                 130",-2.933980773781e+01,2.280075888789e+00,-1.199683826575e+00,-2.977779246530e+01,2.331981375499e+00,-1.220253222567e+00,-4.379847274980e-01,5.190548671028e-02,-2.056939599148e-02
"                 131",-2.940292717087e+01,2.292112939332e+00,-1.082469832403e+00,-2.984170429648e+01,2.343538097840e+00,-1.102714425338e+00,-4.387771256067e-01,5.142515850737e-02,-2.024459293552e-02
