case_label,yaw_deg,force_x_N,force_y_N,force_z_N,resultant_force_N,moment_x_N_m,moment_y_N_m,moment_z_N_m,resultant_moment_N_m,mesh_cells,mesh_points,source_endpoint
corrected_run29_zero,0,-12.2784268446019,287.9129533296,177.46166192349,338.433553173141,-25.8951686494,3.2352689685494,-2.9861656435026,26.2667833951963,1587747,618407,results/simscale/mirabilis_crest_present_U2mps_corrected_farfield_run29/raw/final_force_moment_run29_corrected_farfield.csv
yaw_plus15_steady,15,664.00740616504,399.9023181707,101.009380737757,781.684459687763,1.7995765771187,26.227458358864,430.5306059175,431.332494346893,1613164,623974,results/simscale/mirabilis_crest_present_U2mps_yaw_static/raw/final_force_moment_yaw_plus15.csv
yaw_minus15_steady,-15,-674.60690423188,398.8212896831,96.366439612052,789.581779821011,4.1763964459292,-24.468619260543,-433.7556802804,434.465356261352,1605714,621478,results/simscale/mirabilis_crest_present_U2mps_yaw_static/raw/final_force_moment_yaw_minus15.csv
