metric,expected_relation,plus15_value,minus15_value,mirror_residual,magnitude_mismatch_percent,unit,note
force_x,opposite_sign,664.00740616504,-674.60690423188,-10.5994980668399,1.58365228647481,N,lateral force
force_y,same_sign,399.9023181707,398.8212896831,-1.08102848760001,0.270689003547741,N,streamwise force
force_z,same_sign,101.009380737757,96.366439612052,-4.642941125705,4.70467063035008,N,vertical force
moment_x,same_sign,1.7995765771187,4.1763964459292,2.3768198688105,79.5458700915708,N_m,relative mismatch is inflated because both values are small
moment_y,opposite_sign,26.227458358864,-24.468619260543,1.758839098321,6.9387581087642,N_m,
moment_z,opposite_sign,430.5306059175,-433.7556802804,-3.22507436290005,0.746297705841785,N_m,yaw moment
resultant_force,same_magnitude,781.684459687763,789.581779821011,7.89732013324829,1.00521731259462,N,
resultant_moment,same_magnitude,431.332494346893,434.465356261352,3.13286191445906,0.723693622537441,N_m,
mesh_cells,same_magnitude,1613164,1605714,-7450,0.462894213449531,count,
mesh_points,same_magnitude,623974,621478,-2496,0.400818337438938,count,
