Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  16",-1.288348294056e+01,2.060662918150e+02,1.508160553785e+02,-1.279286332445e+01,2.295213861089e+02,1.503533499041e+02,9.061961610943e-02,2.345509429389e+01,-4.627054743822e-01
"                  17",-4.583733758813e+00,1.903315856111e+02,1.458548749638e+02,-4.496166278043e+00,2.132347970364e+02,1.453900974370e+02,8.756748076999e-02,2.290321142531e+01,-4.647775267983e-01
"                  18",-1.018377698439e+00,1.950454489170e+02,1.422863695363e+02,-9.321958439923e-01,2.174460737454e+02,1.418223982853e+02,8.618185444690e-02,2.240062482837e+01,-4.639712509640e-01
"                  19",-2.780869175495e+00,2.114214016593e+02,1.440736598699e+02,-2.694549677600e+00,2.333730974994e+02,1.436103994245e+02,8.631949789500e-02,2.195169584011e+01,-4.632604454408e-01
"                  20",-6.588359138869e+00,2.248328791397e+02,1.497720827471e+02,-6.500800958963e+00,2.463864296147e+02,1.493085478799e+02,8.755817990664e-02,2.155355047496e+01,-4.635348672035e-01
"                  21",-8.677746958732e+00,2.269768253639e+02,1.553558557473e+02,-8.588809299058e+00,2.481755696443e+02,1.548925573921e+02,8.893765967398e-02,2.119874428039e+01,-4.632983551850e-01
"                  22",-8.285123534119e+00,2.215744974131e+02,1.581946376742e+02,-8.194342076468e+00,2.424498677068e+02,1.577328440522e+02,9.078145765094e-02,2.087537029368e+01,-4.617936219713e-01
"                  23",-6.394495376706e+00,2.152557487111e+02,1.585687379047e+02,-6.301668507563e+00,2.358364975708e+02,1.581113488093e+02,9.282686914289e-02,2.058074885976e+01,-4.573890953930e-01
"                  24",-4.998537725540e+00,2.112509786641e+02,1.585761236032e+02,-4.903641473610e+00,2.315629697436e+02,1.581239811613e+02,9.489625192973e-02,2.031199107953e+01,-4.521424419882e-01
"                  25",-5.042560486515e+00,2.104859304477e+02,1.597154684774e+02,-4.946128356419e+00,2.305573369393e+02,1.592689208253e+02,9.643213009623e-02,2.007140649164e+01,-4.465476521220e-01
"                  26",-6.140434865955e+00,2.109325560197e+02,1.621100197912e+02,-6.043205352368e+00,2.307896450370e+02,1.616683269623e+02,9.722951358697e-02,1.985708901726e+01,-4.416928289008e-01
"                  27",-7.040071098027e+00,2.107341600780e+02,1.647441923319e+02,-6.943422911066e+00,2.304001704443e+02,1.643068344229e+02,9.664818696096e-02,1.966601036636e+01,-4.373579089310e-01
"                  28",-7.189904942115e+00,2.104389970220e+02,1.666832737404e+02,-7.095239264198e+00,2.299332980109e+02,1.662499238148e+02,9.466567791707e-02,1.949430098891e+01,-4.333499256194e-01
"                  29",-6.674362708737e+00,2.111858983173e+02,1.678031363257e+02,-6.583161325261e+00,2.305253064114e+02,1.673745604595e+02,9.120138347596e-02,1.933940809408e+01,-4.285758662150e-01
"                  30",-5.928932874325e+00,2.136016631069e+02,1.686657155398e+02,-5.842105725890e+00,2.328012463834e+02,1.682435387758e+02,8.682714843548e-02,1.919958327645e+01,-4.221767639691e-01
"                  31",-5.328318788844e+00,2.173416107763e+02,1.698551252412e+02,-5.245971414302e+00,2.364150855673e+02,1.694415461036e+02,8.234737454185e-02,1.907347479104e+01,-4.135791375917e-01
"                  32",-4.961900459056e+00,2.217657047105e+02,1.714655574642e+02,-4.883192915393e+00,2.407264174607e+02,1.710628168976e+02,7.870754366348e-02,1.896071275017e+01,-4.027405665988e-01
"                  33",-4.663742787233e+00,2.261973989267e+02,1.731657991982e+02,-4.587886052308e+00,2.450573889109e+02,1.727761532644e+02,7.585673492437e-02,1.885998998423e+01,-3.896459337952e-01
"                  34",-4.227715426111e+00,2.308980340753e+02,1.747084003764e+02,-4.154251707484e+00,2.496684537248e+02,1.743337538339e+02,7.346371862731e-02,1.877041964958e+01,-3.746465424875e-01
