case_label,project_title,project_id,simulation_name,run_name,run_id,run_status,solver_type,flow_model,turbulence_model,inlet_speed_m_per_s,inlet_axis,yaw_deg,rotation_axis,iterations,mesh_cells,mesh_points,mesh_faces,mesh_internal_faces,head_force_patch,moment_center_x_m,moment_center_y_m,moment_center_z_m,domain_min_x_m,domain_max_x_m,domain_min_y_m,domain_max_y_m,domain_min_z_m,domain_max_z_m,outer_side_bc,body_wall_treatment,source_archive
yaw_plus15_steady,Mirabilis Yaw 15deg Pilot,1024734913210931576,Incompressible,Static yaw +15deg steady,run41,Succeeded,steady RANS,incompressible,k-omega SST,2,+Y,15,+Z,1000,1613164,623974,3716927,3588909,face 77@Flow region,0.456816,-1.704859,1.972,-1.75,1.75,-5.81,5,-0.5,4.5,slip,unassigned surface inherits SimScale no-slip default,Mirabilis_Yaw_15deg_Pilot-Incompressible-Run_3.zip
yaw_minus15_steady,Mirabilis Yaw 15deg Pilot,1024734913210931576,Incompressible,Static yaw -15deg mirror,run48,Succeeded,steady RANS,incompressible,k-omega SST,2,+Y,-15,+Z,1000,1605714,621478,3701015,3573135,face 77@Flow region,-0.456816,-1.704859,1.972,-1.75,1.75,-5.81,5,-0.5,4.5,slip,unassigned surface inherits SimScale no-slip default,Mirabilis_Yaw_15deg_Pilot-Incompressible-Static_yaw__15deg_mirror.zip
